Country,Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Vaccine being used in a country
Nigeria,67216328,343.2,15.9,Oxford/AstraZeneca
Uzbekistan,65334146,1982.5,50.05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001"
Taiwan,63504247,2689.7,86.9,"Medigen, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Chile,62529284,3338.6,94.45,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Myanmar,62259560,1159.2,50.32,"Oxford/AstraZeneca, Sinopharm/Beijing"
Australia,58470395,2339.5,87.14,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,57401382,1511.4,59.45,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Nepal,57015910,2029.9,79.48,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Morocco,55229652,1532.9,65.21,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Ethiopia,52192941,477.8,35.06,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
Cambodia,43600091,2683.1,89.39,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Cuba,42269794,3728.1,88.17,"Abdala, Soberana Plus, Soberana02"
Sri Lanka,39982306,1845.1,67.74,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
South Africa,37873475,655.5,33.75,"Johnson&Johnson, Pfizer/BioNTech"
Venezuela,37860994,1311.4,49.49,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V"
Ecuador,37260948,2181.0,82.46,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Netherlands,36104942,2095.3,69.4,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Ukraine,31683310,710.0,34.11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Belgium,27610574,2417.3,80.2,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Rwanda,26054302,2117.9,72.52,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
Portugal,25139266,2445.0,86.74,"Covaxin, Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Uganda,25120036,588.0,29.4,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
United Arab Emirates,24922054,2530.0,99.41,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Sweden,24836133,2438.9,75.01,"Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Mozambique,24676660,836.6,45.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
Tanzania,24435483,433.9,32.53,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing"
Angola,22297104,723.7,25.36,Oxford/AstraZeneca
Greece,21771745,2029.5,71.23,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Kenya,21202827,412.6,19.43,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Kazakhstan,20918681,1144.6,58.02,"QazVac, Sinopharm/Beijing, Sputnik V"
